team1,team2,team1-goals,team2-goals
Jackson State,Drake,65,70
UNCG,UMBC,62,51
Liberty,East Carolina,74,64
St. Bonaventure,Virginia Tech,49,86
Saint Mary's,San Diego State,53,63
Villanova,Creighton,59,79
Jacksonville State,Alabama,59,65
Fairleigh Dickinson,Virginia,49,82
South Carolina,Clemson,56,70
USC,Georgia Tech,67,53
TCU,Georgetown,80,73
North Texas,Wichita State,62,52
Butler,Purdue,48,77
Texas A&M,Oregon State,83,73
Utah,Missouri,75,83
LSU,Louisiana Tech,66,57
South Florida,Florida,55,66
Hofstra,Arkansas,89,81
Oklahoma State,Houston,61,72
BYU,Weber State,89,71
San Francisco,Grand Canyon,48,49
Gonzaga,Texas Tech,69,55
West Virginia,UAB,65,59
Stephen F. Austin,Kansas,72,80
Southern Utah,Michigan,50,87
Utah State,Iowa,75,94
Saint Francis U,Illinois,48,106
Baylor,Oregon,78,70
Alice Lloyd College,Morehead State,47,87
Hartford,Central Connecticut State,65,75
Bakersfield,Colorado,46,60
Providence,Connecticut,57,53
North Carolina,Kentucky,69,98
Colgate,Monmouth,66,77
Howard Payne,Abilene Christian,41,112
UT Arlington,Oklahoma,50,70
Florida A&M,UC Santa Barbara,62,73
Texas,Stanford,60,53
UT Martin,Drake,54,80
Oral Roberts,South Dakota,82,73
Northern Arizona,Gonzaga,49,95
Incarnate Word,Purdue,59,79
Alcorn State,Baylor,57,94
Appalachian State,North Carolina,50,70
Georgia State,Georgia Tech,62,72
Winthrop,Mississippi State,63,84
Elon,Arkansas,55,81
Pepperdine,Oregon,59,68
Norfolk State,New Mexico,54,68
Delaware,Iona,72,83
Southeastern Louisiana,Iowa,62,93
Portland State,Utah State,62,81
Morehead State,IUPUI,80,52
USC Upstate,Ohio,70,85
Xavier,Villanova,58,71
Connecticut,Marquette,78,70
Nicholls,Oregon State,61,83
Davidson,Alabama,79,78
Oral Roberts,South Dakota State,76,82
Liberty,Northern Iowa,76,74
Clemson,Virginia,67,50
Virginia Tech,Duke,65,76
California-San Diego,San Diego State,57,78
Youngstown State,West Virginia,52,82
Eastern Washington,Texas Tech,46,78
Alcorn State,Oklahoma,48,72
BYU,South Florida,54,39
Arizona,Tennessee,73,77
Illinois,Missouri,88,63
Lipscomb,LSU,60,95
Texas State,Houston,47,80
Stony Brook,Florida,62,87
Hartford,Sacred Heart,78,71
Idaho State,UC Santa Barbara,43,56
Longwood,Abilene Christian,58,74
Colgate,Vermont,68,78
Alabama State,Texas,48,68
Chicago State,Drake,50,87
Liberty,Stanford,76,79
BYU,Vanderbilt,67,69
Liberty,BYU,75,80
Brown,Syracuse,62,93
Alabama State,Texas Tech,53,75
Mount Marty,Drake,53,82
Northwestern State,Baylor,68,104
North Alabama,Gonzaga,63,93
Incarnate Word,Texas,33,78
Lehigh,Maryland,55,76
Arkansas,Mississippi State,68,81
LSU,Auburn,55,70
Tennessee,Alabama,68,73
Missouri,Kentucky,56,83
Illinois State,Wisconsin,85,89
Nicholls,Purdue,90,104
Western Illinois,Iowa,71,92
Westminster (UT),BYU,53,65
Eastern Illinois,Morehead State,50,63
Utah State,Air Force,47,49
Cornell,Syracuse,68,80
Nevada,Kansas,61,88
Denver,Oral Roberts,66,83
Eastern Washington,Portland State,63,58
Michigan,UCF,71,85
Brown,Maryland,67,81
Chicago State,Grand Canyon,63,80
Abilene Christian,Utah Valley,80,76
Utah,Oregon State,76,88
UC Santa Barbara,California-San Diego,83,85
Maine,Rutgers,64,80
Purdue Fort Wayne,Cleveland State,81,90
Converse College,Winthrop,40,78
Boyce,Liberty,60,91
San Diego State,UNLV,62,55
Ohio,Western Michigan,59,47
Omaha,Oral Roberts,62,107
West Virginia,Texas,59,74
Kansas State,Oklahoma,69,71
Baylor,Iowa State,77,72
Florida State,North Carolina State,83,81
Virginia,Syracuse,74,69
Rice,North Texas,43,75
Eastern Washington,Northern Arizona,78,65
Abilene Christian,Dixie State,64,50
Creighton,Marquette,75,69
Villanova,Seton Hall,73,67
Utah,Oregon,66,79
Central Connecticut State,Rutgers,48,79
George Mason,Kansas,67,76
Ohio State,Nebraska,87,79
Drake,Missouri State,56,61
Houston,Temple,66,61
North Carolina,Boston College,91,65
Louisville,Georgia Tech,67,64
Marist,Iona,66,69
Wisconsin,Purdue,74,69
Maryland,Iowa,75,80
Towson,Drexel,61,65
Texas Southern,Southern University,50,63
Michigan,Rutgers,67,75
Ohio,Akron,69,63
Vanderbilt,Arkansas,75,74
Kentucky,LSU,60,65
Liberty,Stetson,75,59
Texas,Kansas State,70,57
Kansas,Oklahoma State,74,63
Oklahoma,Baylor,74,84
Florida State,Wake Forest,54,76
North Carolina State,Virginia Tech,68,63
Virginia,Clemson,75,65
Georgia Tech,Duke,57,69
Colgate,Lehigh,81,85
Illinois,Minnesota,76,53
VCU,Dayton,53,52
Furman,UNCG,58,54
Ole Miss,Tennessee,60,66
Alabama,Florida,83,70
Texas Tech,Iowa State,47,51
Purdue Fort Wayne,Cleveland State,58,65
Syracuse,Miami (FL),87,88
North Carolina,Notre Dame,73,78
Texas Southern,Grambling State,67,61
Houston,South Florida,83,66
Creighton,Villanova,41,75
Ohio State,Indiana,51,67
Maryland,Illinois,64,76
Iowa,Wisconsin,78,87
Oral Roberts,St. Thomas (MN),81,66
UAB,North Texas,69,63
Pacific,BYU,51,73
Grand Canyon,Texas-Rio Grande Valley,84,70
Stephen F. Austin,Abilene Christian,64,58
Montana,Eastern Washington,90,78
Washington State,Colorado,78,83
USC,California,77,63
San Francisco,Loyola Chicago,74,79
Long Beach State,UCLA,78,96
Cleveland State,Robert Morris,78,77
Marquette,Georgetown,92,64
Kent State,Ohio,72,80
Ohio Christian,Oakland,40,108
Utah State,New Mexico,90,87
Purdue,Penn State,74,67
Nebraska,Rutgers,65,93
Oral Roberts,Western Illinois,87,86
UNCG,VMI,72,56
Tennessee,LSU,67,79
Florida,Auburn,73,85
Alabama,Missouri,86,92
Arkansas,Texas A&M,81,86
VCU,La Salle,85,66
Bradley,Loyola Chicago,71,78
Texas,Oklahoma State,51,64
Kansas State,West Virginia,68,71
Kansas,Texas Tech,67,75
Iowa State,Oklahoma,66,79
Baylor,TCU,76,64
Louisville,Florida State,70,79
Clemson,North Carolina State,70,65
Virginia,North Carolina,58,74
Syracuse,Wake Forest,74,77
Notre Dame,Georgia Tech,72,68
Middle Tennessee,North Texas,63,70
Idaho,Eastern Washington,93,96
Pepperdine,Gonzaga,83,117
Saint Mary's,BYU,43,52
Sam Houston State,Abilene Christian,65,63
Morehead State,Austin Peay,66,55
Villanova,DePaul,79,64
Wichita State,Houston,66,76
Connecticut,Seton Hall,87,90
UCLA,California,60,52
UAPB,Texas Southern,71,90
Colorado State,San Diego State,49,79
Drake,Evansville,60,59
Saint Louis,Iona,68,67
Wisconsin,Maryland,70,69
Northwestern,Ohio State,87,95
Cleveland State,Youngstown State,86,80
Washington,Colorado,64,78
Army,Colgate,57,76
Mississippi Valley State,Texas Southern,58,95
Wofford,UNCG,54,58
Campbell,Winthrop,72,74
Oregon,Oregon State,78,76
Rutgers,Penn State,49,66
Illinois,Nebraska,81,71
St. Bonaventure,La Salle,80,76
George Washington,VCU,57,84
Delaware,Drexel,81,77
Bowling Green,Ohio,78,85
Auburn,Alabama,81,77
South Carolina,Tennessee,46,66
Valparaiso,Loyola Chicago,74,81
North Florida,Liberty,56,71
Oklahoma State,West Virginia,60,70
Oklahoma,Texas,52,66
Iowa State,Kansas,61,62
Texas Tech,Baylor,65,62
Pittsburgh,Syracuse,61,77
Miami (FL),Florida State,64,65
Iona,Fairfield,80,76
USC,Stanford,69,75
Maryland,Northwestern,94,87
Missouri,Arkansas,43,87
LSU,Florida,64,58
Illinois State,Drake,75,86
Georgia Tech,Boston College,81,76
Virginia Tech,Virginia,52,54
Clemson,Notre Dame,56,72
UT Martin,Morehead State,62,76
Villanova,Xavier,64,60
Utah State,Colorado State,72,77
St. John's,Connecticut,78,86
Delaware State,Norfolk State,51,80
Ohio State,Wisconsin,68,78
Indiana,Iowa,74,83
UNCG,Citadel,69,74
Oakland,Cleveland State,70,65
North Texas,Marshall,69,65
BYU,Gonzaga,84,110
Abilene Christian,Grand Canyon,68,95
Colgate,Navy,69,50
Butler,Georgetown,72,58
Oregon,UCLA,84,81
UC Santa Barbara,Long Beach State,58,65
Oregon State,USC,71,81
Colorado,Arizona,55,76
Oklahoma State,Texas Tech,57,78
UNC Asheville,Winthrop,80,86
Nebraska,Purdue,65,92
Michigan,Illinois,53,68
VCU,St. Bonaventure,53,73
Manhattan,Iona,76,88
Wyoming,Utah State,71,69
Rutgers,Maryland,70,59
Oral Roberts,Kansas City,84,72
UNCG,Mercer,49,58
Drexel,Northeastern,76,68
Tennessee,Kentucky,79,107
Arkansas,LSU,65,58
Alabama,Mississippi State,76,78
Texas A&M,Missouri,67,64
Florida,South Carolina,71,63
Loyola Chicago,Indiana State,64,56
Liberty,Florida Gulf Coast,78,75
Oklahoma,TCU,58,59
Texas Tech,Kansas State,51,62
Texas,Iowa State,70,79
Oklahoma State,Baylor,61,54
West Virginia,Kansas,59,85
Detroit,Cleveland State,70,72
Florida State,Syracuse,76,71
Wake Forest,Virginia,63,55
Notre Dame,Virginia Tech,73,79
Boston College,Clemson,70,68
Georgia Tech,North Carolina,65,88
North Texas,Western Kentucky,65,60
Abilene Christian,New Mexico State,63,77
BYU,San Francisco,71,69
Gonzaga,Santa Clara,115,83
